Name Of Organisation,Contact,Email Id,Address,Active In,Forms of Abolition,Forms of Slavery,
Bal Mahila Kalyan,+91 (0) 645 223-2176,bmk_katihar@rediffmail.com,"Vikas Ashram, Officers Colony, Mirchaibari
Katihar, Bihar 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Sex Trafficking, 
Forced Labor, 
Child Labor",
Bal Sakha,Not available,not available,"Manju Niswas, H/o - Er. Ramjeet Roy, H. No.-36, Road No.-1, New Palitpura Colony, Church Road
Patna, Bihar 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Child Labor",
Baladarshan,Not available,not available,",  
India",India,"

Empowerment","

Forced Labor, 
Child Labor",
Banglanatak,+91 (0) 332 417-8516,banglanatak@gmail.com,"58/114 Prince Anwar Shah Road
Kolkata, West Bengal 
India",India,"

Awareness","

Forced Labor, 
Child Labor",
Bhoomika Vihar,+91 (0) 938 664-4566,bhoomikavihar@hotmail.com,"House No- 3, Mitra Vihar Colony Khaitan Gali, West Boring Canal Road
Patna, Bihar 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Aftercare, 
Empowerment","

Forced Marriage, 
Child Labor",
Bhusura Mahila Vikas Samiti (BMVS),Not available,not available,", Bihar 
India",India,"

Awareness, 
Empowerment","

Forced Labor, 
Bonded Labor, 
Child Labor",
Canara Organisation for Development and Peace (CODP),+91 (0) 824 222-1580,"codpindia@gmail.com, codpeacem@dataone.in","Kadri Hills Nanthoor, Bejai P.O.
Mangalore, Karnataka 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Forced Labor, 
Bonded Labor, 
Child Labor",
CARE - India,+91 (0) 114 910-1100,contactus@careindia.org,"E-46/12, Okhla Industrial Area - Phase II
New Delhi, Delhi 
India",India,"

Aftercare, 
Empowerment","

Child Labor",
Centre Direct,Not available,not available,", Bihar 
India",India,"

Rescue, 
Empowerment","

Forced Labor, 
Child Labor",
Childline India Foundation,+91 (0) 222 495-2610,dial1098@childlineindia.org.in,"406, Sumer Kendra, 4th floor, P. B. Marg	
Mumbai, Maharashtra 
India",India,"

Rescue","

Child Labor",
Dasra,+91 (0) 226 120-0400,info@dasra.org,"M.R.Co-op Housing Society Bldg No. J/18, 1st floor Opposite Raheja College of Arts and Commerce Relief Road, Off Juhu Tara Rd Santa Cruz (West)
Mumbai, Maharashtra 
India",India,"

Awareness","

Child Labor",
Destiny Foundation,+91 (0) 334 064-4132,reflection.destiny@gmail.com,"A129 Lakegardens
Kolkata, West Bengal 
India",India,"

Empowerment","

Child Labor",
Divya Disha,+91 (0) 402 771-4880,divyadisha@gmail.com,"#9-1-127, 3rd Floor, Madhava Nursing Home Lane, Sarojini Devi Road, Secunderabad
Hyderabad, Telangana 
India",India,"

Rescue, 
Aftercare","

Child Labor",
Durbar Mahila Samanvyaya Committee (DMSC),+91 (0) 332 530-3148,dmsc@durbar.org,"12/5 Nilmoni Mitra Street
Kolkata, West Bengal 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Sex Trafficking, 
Child Labor",
Ereima Gender Empowerment and Resource Centre (EGERC),Not available,not available,"P.O.Box 174, Laimayum Leiral, Nagamapal Khwai Brahmapur
Imphal, Manipur 
India",,"

Awareness, 
Policy Making","

Forced Labor, 
Child Labor",
Fakirana Sister’s Society,Not available,not available,"West Champaran District	
Bettiah, Bihar 
India",India,"

Rescue, 
Aftercare","

Bonded Labor, 
Child Labor",
Freedom Firm,"+1 (0) 720 432-1607, +91 (0) 423 244-3053","contactffusa@freedomfirm.org, contact@freedom.firm.in","P.O. Box 33056
Denver, Colorado 80233
United States","India,
United States","

Rescue, 
Prosecution, 
Aftercare, 
Empowerment, 
Awareness, 
Policy Making","

Child Labor",
Freeset,+91 (0) 968 125-6128,feedback@freesetglobal.com,"172 Ramesh Dutta Street
Kolkata, West Bengal 
India","India,
United States","

Empowerment","

Sex Trafficking",
FXB India Suraksha,+91 (0) 114 920-3350,fxbindia@fxbsuraksha.org,"D - 60, Second Floor, Kalka Ji
New Delhi, Delhi 
India",India,"

Awareness, 
Policy Making","

Sex Trafficking, 
Child Labor",
GoodWeave,202-234-9050,Info@GoodWeave.org,"1111 14th Street, NW Suite 820
Washington, DC 20005
United States","Germany,
Nepal,
Afghanistan,
India,
United Kingdom,
United States","

Empowerment, 
Prosecution","

Child Labor",
GoodWeave India,+91 (0) 542 220-1172,support@goodweave.net,"S 14/81, A-5, 2nd Floor, Uday Complex, Maldahiya
Varanasi, Uttar Pradesh 
India",India,"

Awareness, 
Rescue, 
Aftercare, 
Empowerment","

Child Labor",
Gram Vikas Parishad,+91 (0) 627 622-3504,gvpindia@gmail.com,"Babu Saheb Dyodhi
Madhubani, Bihar 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Bonded Labor, 
Child Labor, 
Forced Marriage",
Guria Swayam Sevi Sansthan,+91 (0) 542 250-4253,guria.freedomnow@gmail.com,"S-8/395, Khajuri Colony
Varanasi, Uttar Pradesh 
India",India,"

Awareness, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Impulse NGO Network,+91 (0) 364 250-3140,info@impulsesocialenterprises.com,"Lower Lachumiere
Shillong, Meghalaya 
India",India,"

Awareness, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Forced Labor, 
Child Labor, 
Forced Marriage",
Indian Institute of Rural Reconstruction & Social Change (IIRRRSC),Not available,not available,"East Gandhi Maidan Gorakshini
Jehanabad, Bihar 
India",India,"

Awareness, 
Aftercare","

Forced Labor, 
Bonded Labor",
Institute for Development Education and Action (IDEA),Not available,not available,"East Champaran District
Motihari, Bihar 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Aftercare, 
Empowerment","

Forced Labor, 
Bonded Labor",
Institute for Social Development (ISD),+91 (0) 674 645-1141,isd_bbsr@rediffmail.com,"Plot no 95 , Kanan Vihar Phase II , Po - Patia
Bhubaneswar, Odisha 
India",India,"

Awareness, 
Policy Making, 
Aftercare","

Forced Labor",
Institute of Social Development,Not available,not available,", Rajasthan 
India",India,"

Empowerment","

Bonded Labor, 
Forced Labor",
Integrated Development Foundation (IDF),+91 (0) 843 409-7579,idfho@idfngo.org,"101, Yashoda Apartment Lane in front of Digha Women's ITI Digha-RajivNagar (Rd#23) Road, Digha
Patna, Bihar 
India",India,"

Awareness","

Forced Labor",
International Sanctuary,+1 (0) 949 752-7788,info@isanctuary.org,"17935 Sky Park Circle Suite F
Irvine, California 
United States","India,
United States","

Empowerment","

Sex Trafficking, 
Child Labor",
Jabala Action Research Organization,+91 (0) 332 460-2229,jabalaactionresearch@yahoo.com,"Kolkata, West Bengal 
India",India,"

Awareness, 
Policy Making, 
Prosecution, 
Aftercare, 
Empowerment","

Forced Marriage, 
Child Labor",
Jan Jagran Sansthan,Not available,not available,"Mohalla-Kagzi Sharif
Bihar Sharif, Bihar 
India",India,"

Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Jan Lakshya Society,+91 (0) 858 894-4031,janlakshyasociety@gmail.com,"Siddhartha Nagar Railway Crossing, G.T. Road Bhongaon
Mainpuri, Uttar Pradesh 
India",India,"

Awareness, 
Policy Making","

Sex Trafficking, 
Forced Labor, 
Child Labor",
Jeeta Vimukti Karnataka (Jeevika),+91 (0) 802 321-0194,jeevika90@gmail.com,"1289, ISEC Road,Nagarbhavi Post
Bangalore, Karnataka 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Bonded Labor, 
Child Labor",
Jeevika Trust,+44 (0) 208 973-3773,info@jeevika.org.uk,"Navigator House, 60 High Street, Hampton Wick, Surrey
,  
United Kingdom","India,
United Kingdom","

Awareness, 
Policy Making, 
Empowerment","

Forced Labor",
Justice Ventures International,Not available,not available,"P.O. Box 2834
Washington, DC 20013
United States","India,
China","

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Forced Labor, 
Child Labor",
Kolkata Sanved,+91 (0) 332 423-6119,kolkatasanved@gmail.com,"P-27, CIT Scheme No LXXII, Block-B,Gariahat Road (South)
Kolkata, West Bengal 
India",India,"

Awareness","

Sex Trafficking",
Kranti,Not available,not available,"Mumbai, Maharashtra 
India",India,"

Awareness, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Maa Ghara Foundation Trust,+91 (0) 965 873-2293,"maagharodisha@gmail.com, rutuparnamohanty71@gmail.com, sanjeeevanee@gmail.com","S/2 Maitri Bihar, Phase-1
Bhubaneswar, Odisha 
India",India,"

Rescue, 
Aftercare, 
Prosecution","

Sex Trafficking, 
Child Labor",
Madras Christian Council of Social Service,+91 (0) 442 670-3246,mccss@mccss.org,"No.21, 6th Main Road, Jawahar Nagar
Chennai, Tamil Nadu 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Mahila Development Centre (MDC),+91 (0) 621 228-9428,mdc_2003@yahoo.co.in,"Rambagh Chowk
Muzaffarpur, Bihar 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Mahima India,+91-33-2397-2660,info@mahimaindia.org,"Rosy Land, Flat #C-4 33/31 Nafar Chandra Das Rd. Behala, Kolkata, INDIA – 700034
Kolkata,  
India",India,"

Empowerment, 
Awareness, 
Aftercare","

Sex Trafficking",
Mahita,+91 (0) 402 764-1858,"hyd1_mahita@sancharnet.in, mahitahyd2002@yahoo.com","1-8-522/42, Flat No.105, SVs Papaiah Estate, Chikkadpalli
Hyderabad, Andhra Pradesh 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Empowerment","

Forced Marriage, 
Child Labor",
Manav Sansadhan Evam Mahila Vikas Sansthan (MSEMVS),+91 (0) 542 237-2191,info@msemvs.org,"128, Shivdaspur, Lahartara, Manduadih Road (Opposite Kabir Mandir)
Varanasi, Uttar Pradesh 
India",India,"

Awareness, 
Rescue, 
Empowerment","

Child Labor, 
Bonded Labor",
Manav Seva Sanstha (SEVA),Not available,not available,"Lig 198, Vikas Nagar, P.O. Fertilizer, Bargadwa
Gorakhpur, Uttar Pradesh 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Forced Labor, 
Child Labor",
"National Institute for Rural Development, Education, Social Upliftment and Health (NIRDESH)",+91 (0) 621 225-1880,nirdesh@nirdesh.org,"Majhaulia, Khabra
Muzaffarpur, Bihar 
India",India,"

Awareness, 
Policy Making, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Forced Labor, 
Child Labor",
New Light,Not available,not available,"162 Kalighat Road
Kolkata, West Bengal 
India",India,"

Empowerment, 
Policy Making, 
Rescue","

Sex Trafficking, 
Child Labor, 
Forced Labor",
Oasis - India,Not available,not available,"23/2 Kumaraswamy Naidu Road, Frazer Town
Bangalore, Karnataka 
India",India,"

Awareness, 
Aftercare, 
Rescue","

Forced Labor, 
Child Labor",
Odanadi,+91 (0) 821 240-2155,odanadisevatrust@yahoo.com,"No.15/2B, Hunsur Road, Srs Colony, Belwadi Post, Hootagalli
Mysore, Karnataka 
India",,"

Awareness, 
Rescue, 
Aftercare, 
Policy Making","

Sex Trafficking, 
Child Labor",
Pragati Gramodyog Evam Samaj Kalyan Sansthan,Not available,not available,",  
India",India,"

Awareness, 
Empowerment","

Forced Labor",
Prajwala India,+91 (0) 402 451-0290,praj_2010@yahoo.com,"20-4-34, III Floor
Hyderabad, Andhra Pradesh 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Aftercare","

Sex Trafficking, 
Child Labor",
Pratham Council for Vulnerable Children,+91 (0) 222 281-9561,info@pcvc.org,"4th Floor, YB Chaban Center, Nariman Point	
Mumbai, Maharashtra 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Aftercare, 
Empowerment","

Child Labor",
Prayas Bharti Trust,+91 (0) 612 257-0685,prayas4women@hotmail.com,"C-83, Krishna Apartment, Boring Road
Patna, Bihar 
India",India,"

Awareness, 
Rescue, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Prayas Juvenal Aid Centre,+91 0) 112 995-5505,prayas@prayaschildren.org,"59 Tughlakabad Institutional Area,	 Near Batra Hospital, Adjecent to Rotary Blood Bank
New Delhi, Delhi 
India",India,"

Aftercare, 
Empowerment, 
Awareness, 
Rescue","

Child Labor",
Prayas Rural Development Foundation,+91 (0) 972 166-6934,ajaymargdarshak@gmail.com,"H. No-2, Shivnath Nagar, Anand Lok Colony
Lucknow, Uttar Pradesh 
India",India,"

Awareness, 
Empowerment","

Forced Labor",
Prerana,+91 (0) 222 387-7637,contactprerana@gmail.com,"Ground Floor, Khetwadi Municipal School (Dagdishala) Behind Alankar Theatre, 1st Lane, Khetwadi, Grant Road (East)
Mumbai, Maharashtra 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Project Rescue,417-833-5564,info@projectrescue.com,"PO Box 922
Springfield, Missouri 65801
United States","United States,
India,
Nepal","

Awareness, 
Rescue","

Sex Trafficking",
Purnata,+91 (0) 981 952-0821,contact@purnata.org,"#B201, Sukh Shanti Cooperative Housing Society,  Eksar Road, Shanti Ashram, Borivali West 
Mumbai, Maharashtra 
India",India,"

Awareness, 
Rescue, 
Aftercare","

Child Labor",
Rahab's Rope,Not available,not available,"P.O. Box 907308
Gainesville, Georgia 30501
United States","India,
United States","

Empowerment","

Sex Trafficking, 
Child Labor",
Redemption Research for Health and Educational Development Society (RRHEDS),+91 (0) 864 725-1010,RRHEDS@gmail.com,"#12-118, Valaparla Village, Martur Mandal, Prakasam District
, Andhra Pradesh 
India",India,"

Awareness, 
Empowerment","

Forced Labor, 
Child Labor",
Rescue Foundation,+91 (0) 222 806-0707,admin@rescuefoundation.net,"Plot No. 39, Fatimadevi Road, Kandivali
Mumbai, Maharashtra 
India",India,"

Rescue, 
Aftercare","

Sex Trafficking, 
Child Labor",
Rural Women’s Social Education Centre (RUWSEC),+91 (0) 442 749-1254,"ruwsec@vsnl.com, ruwsec.tn@gmail.com","61, Karumarapakkam Village, Veerapuram Post, Thirukazhukundram (via), Kancheepuram District,
, Tamil Nadu 
India",India,"

Awareness","

Sex Trafficking",
Sahaara Charitable Society,+91 22 2754 7893,contactus@sahaarasociety.org,"Hari Niwas, Row House, Plot no.72, Sector 7, Behind DMart, Kopar Khairane, Navi Mumbai
, Maharashtra 400709
India",India,"

Awareness, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Salaam Baalak Trust,+91 (0) 112 358-4164,contact@salaambaalaktrust.org,"2nd Floor, DDA Community Centre  Gali Chandiwali, Paharganj
New Delhi, Delhi 
India",India,"

Awareness, 
Rescue, 
Aftercare, 
Empowerment","

Child Labor",
Sanlaap India,+91 (0) 2 466-2977,hq@sanlaapindia.org,"38B Mahanirban Road
Kolkata, West Bengal 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Prosecution, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Sasha,Not available,not available,"27 Mirza Ghalib Street
Kolkata, West Bengal 
India",India,"

Awareness, 
Policy Making, 
Empowerment","

Forced Labor, 
Child Labor",
Save the Children - India,+91 (0) 124 475-2000,info@savethechildren.in,"Bal Raksha Bharat 1st & 2nd Floor, Plot No. 91, Sector - 44
Gurgaon, Haryana 
India",India,"

Awareness, 
Policy Making, 
Rescue, 
Aftercare, 
Empowerment","

Child Labor",
Shakti Vahini,+91 (0) 114 508-1098,shaktivahini@yahoo.co.in,"H-11, 2nd Floor, Hudson Lines, Kingsway Camp
New Delhi, Delhi 
India",India,"

Awareness, 
Policy Making","

Forced Labor",
Snehalaya,+91 (0) 241 277-8353,info@snehalaya.org,"F-239 MIDC Near Shree Tiles Chowk	
Ahmednagar, Maharashtra 
India",India,"

Awareness, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Social Action for Rural and Tribal In-Habitants of India (SARTHI),Not available,not available,",  
India",India,"

Awareness","

Sex Trafficking, 
Forced Labor",
STOP India (STOP Trafficking & Oppression of Women & Children),+91 (0) 116 557-8290,romadeba@vsnl.com,"C-570, JVTS Garden, Road no. 5, Chattarpur Extension
New Delhi, Delhi 
India",India,"

Rescue, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Sudara (International Princess Project),+1 (0) 800 430-6451,info@sudara.org,"151 Kalmus Drive, Suite B-150
Costa Mesa, California 92626
United States","United States,
India","

Awareness, 
Empowerment","

Sex Trafficking",
Tatvasi Samaj Nyas (TSN),Not available,not available,",  
India",India,"

Awareness, 
Rescue, 
Prosecution, 
Aftercare","

Sex Trafficking, 
Bonded Labor, 
Child Labor",
Tender Hands,+91 (0) 987 076-6962,tenderhandsindia@gmail.com,"Mumbai, Maharashtra 
India",India,"

Rescue, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
The God's Child Project,Not available,not available,"P.O. Box 50668
Minneapolis, Minnesota 
United States","India,
El Salvador,
Guatemala,
Malawi,
United States","

Aftercare","

Child Labor",
U COUNT Campaign,Not available,not available,"2908 South Timberline Road
Fort Collins, Colorado 80525
United States","United States,
India","

Awareness, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Vanchit Vikas,+91 (0) 202 445-4658,"vanchitvikas2007@rediffmail.com, vanchitvikas85@gmail.com","405/9, Narayan Peth
Pune, Maharashtra 
India",India,"

Rescue, 
Awareness, 
Aftercare","

Child Labor",
Vidyaranya,+91 (0) 802 286-2622,info@vidyaranya.org,"Municipal No.34, 3rd Floor, Royal Park Apartments, Unit No.15, Next to Hotel Ramada, Park Road, Tasker Town, Shivaji Nagar
Bangalore, Karnataka 
India",India,"

Rescue, 
Aftercare, 
Empowerment","

Sex Trafficking, 
Child Labor",
Volunteers for Social Justice,+91 (0) 182 622-2432,"ddva2003@yahoo.com, ddva@hotmail.com","Near Tubewell, No. 3 Ranjitgarh Gurudwara Road
Phillaur, Punjab 
India",India,"

Awareness, 
Rescue, 
Prosecution, 
Policy Making","

Bonded Labor, 
Child Labor",
We Serve Charitable Trust,+91 (0) 802 538-3107,"info@weservecharitabletrust.in, weservecharitabletrust@gmail.com","No:143, 4th Cross, Kasturi Nagar 
Bangalore, Karnataka 
India",India,"

Awareness, 
Aftercare, 
Empowerment","

Child Labor",
Women and Child Welfare Foundation,+91 (0) 982 080-9560,womennchildwelfarefoundation@gmail.com,"104, Sun Flower Building, Mantri Park, Goregaon, East
Mumbai, Maharashtra 
India",India,"

Rescue, 
Aftercare","

Sex Trafficking",
"Women Development Corporation, Bihar",+91 (0) 612 253-4096,"support@wdcbihar.org.in, wdc@dtpl.biz","2nd Floor, Indira Bhawan, R.C.Singh Path, Bailey Road
Patna, Bihar 
India",India,"

Awareness, 
Policy Making","

Forced Labor",
Women's Interlink Foundation (WIF),+91 (0) 332 460-0765,"wif@vsnl.com, wilink@vsnl.net","2A, Ballygunge Place East
Kolkata, West Bengal 
India",India,"

Awareness, 
Empowerment","

Sex Trafficking, 
Child Labor",
Home of Hope India,(910) 815-0695,paulwilkes1234@gmail.com,",  
India",India,"

Aftercare","

Child Labor",
Jeevan Aadhar,Not available,not available,"Mumbai, Maharashtra 
India",India,"

Aftercare","

Sex Trafficking",
National Domestic Workers' Movement,022 2378 0903,contact@ndwm.org,"104/A, St Mary’s Apts, Nesbit Road
Mumbai,  400 010
India",India,"

Empowerment","

Forced Labor, 
Child Labor",
Oxfam India,011 4653 8000,friendsofoxfam@oxfamindia.org,"Shriram Bharatiya Kala Kendra, 4th and 5th Floor, 1, Copernicus Marg, New Delhi, Delhi, 110001
,  
India",India,,,
MD BAZAR BHORAI DEVELOPMENT SOCIETY,+91-9932996576/+91-9563278664,bhoraioffice@gmail.com,"Patelnagar, Md. Bazar (T.S), Birbhum
, West Bengal 731132
India",India,,"

Sex Trafficking, 
Child Labor, 
Forced Marriage",
Heart: A Pledge to Change,919819735210,heartapledgetochange@yahoo.com,"Girgaon, Mumbai, Maharashtra  ,   India","Girgaon, Mumbai, Maharashtra 
,  
India",Awareness,"Domestic Servitude,  Sex Trafficking,  Forced Labor,  Bonded Labor,  Child Labor,  Forced Marriage
","
"
No More Missing,(+91) - 8936993125,nomoremissing8@gmail.com,"A-44, Kalu Sarai, Hauz Khas
New Delhi, Delhi 110016
India",India,"

Aftercare, 
Empowerment, 
Rescue","

Child Labor",
Rural Organization for Social Advancement,919450156972,rosasansthan@gmail.com,",  
India",India,,,
